model,task,stimulus,input,reference,prediction,em_normalized,bleu,prompt
t5,active_to_passive,1,The professors thanked the tourists.,The tourists were thanked by the professors.,The tourists thanked the professors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The scientist contacted the judge.,The judge was contacted by the scientist.,The judge contacted the scientist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The doctor stopped the managers.,The managers were stopped by the doctor.,The managers stopped the doctor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The author stopped the senator.,The senator was stopped by the author.,The senator stopped the author.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The authors mentioned the lawyer.,The lawyer was mentioned by the authors.,The lawyer mentioned the authors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The actor believed the senators.,The senators were believed by the actor.,The senators believed the actor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The judges contacted the athletes.,The athletes were contacted by the judges.,The athletes contacted the judges.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The judges helped the professor.,The professor was helped by the judges.,The judges helped the professor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The authors supported the scientist.,The scientist was supported by the authors.,The scientist supported the authors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The judges avoided the students.,The students were avoided by the judges.,The judges avoided the students.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The banker advised the tourists.,The tourists were advised by the banker.,The tourists advised the banker.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The presidents introduced the authors.,The authors were introduced by the presidents.,The authors introduced the presidents.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senator introduced the bankers.,The bankers were introduced by the senator.,The bankers introduced the senator.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The doctors admired the student.,The student was admired by the doctors.,The student admired the doctors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The artists introduced the manager.,The manager was introduced by the artists.,The manager introduced the artists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The student supported the tourist.,The tourist was supported by the student.,The tourist supported the student.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The professors stopped the senators.,The senators were stopped by the professors.,The senators stopped the professors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The judges mentioned the professor.,The professor was mentioned by the judges.,The professor mentioned the judges.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The bankers avoided the lawyer.,The lawyer was avoided by the bankers.,The lawyer avoided the bankers.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourist admired the authors.,The authors were admired by the tourist.,The authors admired the tourist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The actor stopped the senator.,The senator was stopped by the actor.,The senator stopped the actor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senators recommended the artists.,The artists were recommended by the senators.,The artists recommended the senators.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourists advised the president.,The president was advised by the tourists.,The president advised the tourists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The actor recognized the manager.,The manager was recognized by the actor.,The manager recognized the actor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The authors contacted the doctors.,The doctors were contacted by the authors.,The doctors contacted the authors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourists recommended the artists.,The artists were recommended by the tourists.,The artists recommended the tourists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The bankers contacted the senators.,The senators were contacted by the bankers.,The bankers contacted the senators.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The artist admired the managers.,The managers were admired by the artist.,The managers admired the artist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senator mentioned the doctor.,The doctor was mentioned by the senator.,The doctor mentioned the senator.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The president admired the managers.,The managers were admired by the president.,The managers admired the president.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The scientists recommended the tourists.,The tourists were recommended by the scientists.,The scientists recommended the tourists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The authors stopped the manager.,The manager was stopped by the authors.,The manager stopped the authors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The actor recognized the professor.,The professor was recognized by the actor.,The actor recognized the professor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The judge avoided the banker.,The banker was avoided by the judge.,The judge avoided the banker.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourists admired the judges.,The judges were admired by the tourists.,The judges admired the tourists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The athlete encouraged the scientists.,The scientists were encouraged by the athlete.,The scientists encouraged the athlete.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The manager believed the athletes.,The athletes were believed by the manager.,The athletes believed the manager.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senators admired the lawyers.,The lawyers were admired by the senators.,The lawyers admired the senators.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senators mentioned the professors.,The professors were mentioned by the senators.,The professors mentioned the senators.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The manager believed the presidents.,The presidents were believed by the manager.,The manager believed the presidents.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The students recommended the banker.,The banker was recommended by the students.,The banker recommended the students.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The judges supported the manager.,The manager was supported by the judges.,The manager supported the judges.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The athlete thanked the author.,The author was thanked by the athlete.,The author thanked the athlete.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourist encouraged the managers.,The managers were encouraged by the tourist.,The managers encouraged the tourist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The banker advised the students.,The students were advised by the banker.,The banker advised the students.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The managers stopped the student.,The student was stopped by the managers.,The student stopped the managers.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The students advised the tourists.,The tourists were advised by the students.,The tourists advised the students.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The secretary recommended the tourists.,The tourists were recommended by the secretary.,The tourists recommended the secretary.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The president thanked the manager.,The manager was thanked by the president.,The manager thanked the president.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The actor recognized the senators.,The senators were recognized by the actor.,The senators recognized the actor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The presidents introduced the scientist.,The scientist was introduced by the presidents.,The scientist introduced the presidents.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The secretaries recommended the students.,The students were recommended by the secretaries.,The students recommended the secretaries.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The presidents thanked the lawyers.,The lawyers were thanked by the presidents.,The lawyers thanked the presidents.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The secretaries believed the student.,The student was believed by the secretaries.,The student believed the secretaries.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The artists recognized the author.,The author was recognized by the artists.,The author recognized the artists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The athlete avoided the bankers.,The bankers were avoided by the athlete.,The athlete avoided the bankers.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The artists admired the doctor.,The doctor was admired by the artists.,The doctor admired the artists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The student recommended the authors.,The authors were recommended by the student.,The authors recommended the student.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The athletes believed the authors.,The authors were believed by the athletes.,The authors believed the athletes.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The scientist admired the tourist.,The tourist was admired by the scientist.,The tourist admired the scientist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The presidents avoided the scientist.,The scientist was avoided by the presidents.,The scientist avoided the presidents.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The professor mentioned the scientist.,The scientist was mentioned by the professor.,The scientist mentioned the professor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The doctor thanked the actors.,The actors were thanked by the doctor.,The actors thanked the doctor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The doctor thanked the banker.,The banker was thanked by the doctor.,The banker thanked the doctor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senator recommended the athletes.,The athletes were recommended by the senator.,The athletes recommended the senator.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The athletes stopped the student.,The student was stopped by the athletes.,The student stopped the athletes.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The student supported the professor.,The professor was supported by the student.,The professor supported the student.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The manager advised the professors.,The professors were advised by the manager.,The manager advised the professors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The doctor mentioned the tourist.,The tourist was mentioned by the doctor.,The tourist mentioned the doctor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senator contacted the judge.,The judge was contacted by the senator.,The judge contacted the senator.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The lawyer recognized the judge.,The judge was recognized by the lawyer.,The judge recognized the lawyer.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourists helped the manager.,The manager was helped by the tourists.,The manager helped the tourists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The athlete stopped the president.,The president was stopped by the athlete.,The athlete stopped the president.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The athlete mentioned the scientists.,The scientists were mentioned by the athlete.,The scientists mentioned the athlete.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourists introduced the doctors.,The doctors were introduced by the tourists.,The doctors introduced the tourists.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The manager mentioned the president.,The president was mentioned by the manager.,The manager mentioned the president.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The lawyers stopped the manager.,The manager was stopped by the lawyers.,The manager stopped the lawyers.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The lawyers recommended the authors.,The authors were recommended by the lawyers.,The authors recommended the lawyers.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The secretary contacted the athletes.,The athletes were contacted by the secretary.,The athletes contacted the secretary.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The manager avoided the scientists.,The scientists were avoided by the manager.,The scientists avoided the manager.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The president mentioned the secretaries.,The secretaries were mentioned by the president.,The secretaries mentioned the president.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senators stopped the professor.,The professor was stopped by the senators.,The professor was stopped by the senators.,1,1.0,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The professors avoided the artists.,The artists were avoided by the professors.,The artists avoided the professors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The professors thanked the lawyers.,The lawyers were thanked by the professors.,The lawyers thanked the professors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourist supported the secretaries.,The secretaries were supported by the tourist.,The secretaries supported the tourist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senators introduced the artist.,The artist was introduced by the senators.,The artist was introduced by the senators.,1,1.0,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The senator avoided the judges.,The judges were avoided by the senator.,The judges avoided the senator.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The student helped the president.,The president was helped by the student.,The student helped the president.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The manager believed the doctors.,The doctors were believed by the manager.,The doctors believed the manager.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The actor recommended the artists.,The artists were recommended by the actor.,The artists recommended the actor.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourist recommended the senator.,The senator was recommended by the tourist.,The senator recommended the tourist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The student recommended the athletes.,The athletes were recommended by the student.,The athletes recommended the student.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The judge contacted the managers.,The managers were contacted by the judge.,The managers contacted the judge.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The banker recognized the tourists.,The tourists were recognized by the banker.,The tourists recognized the banker.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourist recommended the manager.,The manager was recommended by the tourist.,The manager recommended the tourist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The tourist thanked the professors.,The professors were thanked by the tourist.,The professors thanked the tourist.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The president contacted the athletes.,The athletes were contacted by the president.,The athletes contacted the president.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,1,The doctors recognized the athletes.,The athletes were recognized by the doctors.,The athletes recognized the doctors.,0,0.11389034164225112,"Write the input sentence in passive form.You've never been particularly good at this, have you?"
t5,active_to_passive,5,The professor mentioned the artist.,The artist was mentioned by the professor.,The artist mentioned the professor.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The presidents recommended the lawyer.,The lawyer was recommended by the presidents.,The lawyer recommended the presidents.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The professors thanked the tourists.,The tourists were thanked by the professors.,The tourists thanked the professors.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The scientist contacted the judge.,The judge was contacted by the scientist.,The judge contacted the scientist.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The doctor stopped the managers.,The managers were stopped by the doctor.,The managers stopped the doctor.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The author stopped the senator.,The senator was stopped by the author.,The senator stopped the author.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The authors mentioned the lawyer.,The lawyer was mentioned by the authors.,The lawyer mentioned the authors.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The actor believed the senators.,The senators were believed by the actor.,The senators believed the actor.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The judges contacted the athletes.,The athletes were contacted by the judges.,The athletes contacted the judges.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The judges helped the professor.,The professor was helped by the judges.,The judges helped the professor.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The authors supported the scientist.,The scientist was supported by the authors.,The scientist supported the authors.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The judges avoided the students.,The students were avoided by the judges.,The judges avoided the students.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The banker advised the tourists.,The tourists were advised by the banker.,The banker advised the tourists.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The presidents introduced the authors.,The authors were introduced by the presidents.,The authors introduced the presidents.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The senator introduced the bankers.,The bankers were introduced by the senator.,The bankers introduced the senator.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The doctors admired the student.,The student was admired by the doctors.,The student admired the doctors.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The artists introduced the manager.,The manager was introduced by the artists.,The manager introduced the artists.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The student supported the tourist.,The tourist was supported by the student.,The student supported the tourist.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The professors stopped the senators.,The senators were stopped by the professors.,The senators stopped the professors.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The judges mentioned the professor.,The professor was mentioned by the judges.,The professor mentioned the judges.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The bankers avoided the lawyer.,The lawyer was avoided by the bankers.,The lawyer avoided the bankers.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The tourist admired the authors.,The authors were admired by the tourist.,The authors admired the tourist.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The actor stopped the senator.,The senator was stopped by the actor.,The senator stopped the actor.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The senators recommended the artists.,The artists were recommended by the senators.,The artists recommended the senators.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The tourists advised the president.,The president was advised by the tourists.,The president advised the tourists.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The actor recognized the manager.,The manager was recognized by the actor.,The manager recognized the actor.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The authors contacted the doctors.,The doctors were contacted by the authors.,The doctors contacted the authors.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The tourists recommended the artists.,The artists were recommended by the tourists.,The artists recommended the tourists.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The bankers contacted the senators.,The senators were contacted by the bankers.,The bankers contacted the senators.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The artist admired the managers.,The managers were admired by the artist.,The managers admired the artist.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The senator mentioned the doctor.,The doctor was mentioned by the senator.,The doctor mentioned the senator.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The president admired the managers.,The managers were admired by the president.,The managers admired the president.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The scientists recommended the tourists.,The tourists were recommended by the scientists.,The scientists recommended the tourists.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The authors stopped the manager.,The manager was stopped by the authors.,The manager stopped the authors.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The actor recognized the professor.,The professor was recognized by the actor.,The actor recognized the professor.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The judge avoided the banker.,The banker was avoided by the judge.,The judge avoided the banker.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The tourists admired the judges.,The judges were admired by the tourists.,The judges admired the tourists.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The athlete encouraged the scientists.,The scientists were encouraged by the athlete.,The scientists encouraged the athlete.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The manager believed the athletes.,The athletes were believed by the manager.,The athletes believed the manager.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The senators admired the lawyers.,The lawyers were admired by the senators.,The lawyers admired the senators.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The senators mentioned the professors.,The professors were mentioned by the senators.,The professors mentioned the senators.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The manager believed the presidents.,The presidents were believed by the manager.,The manager believed the presidents.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The students recommended the banker.,The banker was recommended by the students.,The banker recommended the students.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The judges supported the manager.,The manager was supported by the judges.,The judges supported the manager.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The athlete thanked the author.,The author was thanked by the athlete.,The author thanked the athlete.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The tourist encouraged the managers.,The managers were encouraged by the tourist.,The managers encouraged the tourist.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The banker advised the students.,The students were advised by the banker.,The banker advised the students.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The managers stopped the student.,The student was stopped by the managers.,The student stopped the managers.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The students advised the tourists.,The tourists were advised by the students.,The tourists advised the students.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The secretary recommended the tourists.,The tourists were recommended by the secretary.,The tourists recommended the secretary.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The president thanked the manager.,The manager was thanked by the president.,The manager thanked the president.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The actor recognized the senators.,The senators were recognized by the actor.,The senators recognized the actor.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The presidents introduced the scientist.,The scientist was introduced by the presidents.,The scientist introduced the presidents.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The secretaries recommended the students.,The students were recommended by the secretaries.,The secretaries recommended the students.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The presidents thanked the lawyers.,The lawyers were thanked by the presidents.,The lawyers thanked the presidents.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The secretaries believed the student.,The student was believed by the secretaries.,The student believed the secretaries.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The artists recognized the author.,The author was recognized by the artists.,The artist recognized the author.,0,0.09057365499736145,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
t5,active_to_passive,5,The athlete avoided the bankers.,The bankers were avoided by the athlete.,The athlete avoided the bankers.,0,0.11389034164225112,Write the input sentence in passive form.I've seen others do this much more efficiently and effectively.
